,question,answer,non_prep_question
3390,что ты быть делать когда увидеть плачущий женщина,поплачу с ней,"что ты будешь делать, когда увидишь плачущую женщину?"
3391,как понять что бабник любить или хотеть,Практика покажет...,Как понять что бабник любит или хочет?
3392,оценить ситуация для что парень у который есть девушка сидеть на сайт знакомство,"Ищет женщин для секса. Если тебя устраивает - можешь и дальше продолжать в таком духе. С таким надо без всяких разговоров попрощаться, это не лечится","Оцените ситуацию) для чего парень, у которого есть девушка сидит на сайте знакомств?"
3393,из за принцип не мочь,"Ну а сами-то как считаете?)) Причём здесь чьё-то постороннее мнение? Это же Ваша жизнь! Вам и решать, что в ней правильно, а что нет. Вы иначе думаете?)",Из за принципа не могу!
3394,до полный переезд к я она я почти постоянно писать по месенджер,"Михаил, поговори с ней, а уже потом делай выводы. Это ваша жизнь, ваши отношения и только вам решать, как быть дальше.Удачи тебе!",До полного переезда ко мне она мне почти постоянно писала по месенджерам
3395,почему мой парень не уходить от я если у мы уже много раз не получаться,"Потому что твои гормоны ему подходят идеально! вот и терпит, и никуда он от тебя не убежит! корми и содержи на своих гормонах - то!","Почему мой парень не уходит от меня, если у нас уже много раз не получалось?"
3396,почему мой парень не уходить от я если у мы уже много раз не получаться,Так он вставил тебе или нет !,"Почему мой парень не уходит от меня, если у нас уже много раз не получалось?"
3397,вы знать что с точка зрение природа женщина,"Не правда! Если человек гомно, то пусть хоть с двумя квартирами, он нафиг не нужен.","Вы знали, что с точки зрения природы женщины..."
3398,что любовь существовать это ложь придумать хитрый женщина или наивный богатый мужчина,"Она мжет быть, а может и не быть. Кому как повезёт.","Что любовь существует, это ложь придуманная хитрыми женщинами? Или наивными, богатыми мужчинами?"
3399,зачем парень в отношение быть регаться на баду знакомство,хочет дрочить свой писюнчик уже в другом месте),Зачем парень в отношениях будет регаться на баду? Знакомствах
3400,девушка кидать в сохранененка в вк пресс мужчина и лайкать что это значит что бы выбесить я или сравнивать,она выбирает себе истинного альфасамца - короля вк и селфи.чтобы потом отдаться ему безудержно.а ты вообще непричём.,"Девушка кидает в сохранененки в вк пресс мужчин, и лайкает, что это значит? Что бы выбесить меня? Или сравнивает"
3401,женщина который совсем не выносить мозг миф,"Нет, но не всем мужчинам это нравится, некоторым именно выноса мозга и не хватает...",женщины которые совсем не выносят мозг - миф?
3402,проигрывать в гляделка с девушка при общение с они не мочь смотреть в глаз что посоветовать,Играйте в доктора.,"Проигрываю в гляделки с девушками при общении с ними, не могу смотреть в глаза. Что посоветуете?"
3403,почему у весь женщина такой стереотип,"Не у всех, я считаю что о свадьбе имеет право думать каждый!!!!",почему у всех женщин такой стереотип
3404,как быть прочитать диалог что то замолчать он,Делать вывод о человеческих отношениях основываясь на трех фразах это слишком самоуверенно.,Как быть? Прочитайте диалог . Что-то замолчал он...
3405,если бы у я быть любовь в реал неужели бы я сюда приператься каждый вечер,"Все равно бы зашли.) Чисто ради интереса, что кто пишет.","Если бы у меня была любовь в реале, неужели бы я сюда припералась каждый вечер?"
3406,барышня а сказать кто тут из вы самый спросовый чикуль и как вы быть бороться за мой внимание,Что то претинденток на твое внимание не видно.,"Барышни, а скажите, кто тут из вас самая спросовая чикуля и как вы будете бороться за мое внимание?)"
3407,подойти ли левша правша для отношение,вполне,Подойдет ли левше правша для отношений?
3408,быть с любимый на дача обнимашка целовашка но замёрзнуть жесть,"Мать, тебя тупо трахнули и даже не удосужились покормить. Сексом типа сыта быть должна)",Были с любимым на даче. обнимашки целовашки. но замёрзла жесть (
3409,парень любить скорость и мотоцикл как сказать парень чтоб гонять медленный ведь я переживать всё таки,"Так и сказать как есть, но без элементов истерики, и давления, и слишком частой заботы.","Парень любит скорость и мотоцикл Как сказать парню чтоб гонял помедленнее, ведь я переживаю все таки."
3410,если мужчина так себя вести то это что значит понравиться он мужчина вопрос,Мой психолог на вид был будто всю жизнь бухал и вот я тут припёрся к нему. Ну я короче решил не спрашивать почему у него такое лицо.,"Если мужчина так себя ведет, то это что значит? Понравилась ему? Мужчинам вопрос"
3411,мочь ли это быть измена,"Мужской измены не существует, есть лишь инстинкт оплодотворить, кто-то подавляет, а кто-то нет, это простительно, но неуважительно к женщине.",Может ли это быть изменой?
3412,девушка стать принимать как должное,ты же знаешь...,Девушка стала принимать как должное
3413,почему некоторый мужчина добровольно соглашаться на подкаблучник,"там теплее и безопаснее, где? - под каблуком)","Почему некоторые мужчины, добровольно соглашаются на подкаблучника?)"
3414,какой качество личность вы наиболее ценить в человек у вы есть пример из литература,"Jacob Black),Граф Калиостро,",Какие качества личности вы наиболее цените в людях? У вас есть примеры из литературы?
3415,как впечатлить девушка на свидание первый встреча,Заинтересуй собой)) как личностью,"Как впечатлить девушку на свидании, первой встрече!"
3416,понравиться парень написать первый,"ничего не надо делать, найдите другого","понравился парень, написала первой"
3417,что страшный для вы если человек с который вы встречаться жить сказать вы что изменить или что полюбить кто то,"Еще перед свадьбой я спросила - ты мог бы мне изменить? Мой будущий муж ответил - ну разве только если буду пьяный в дымину, что соображать не буду. А я ответила, что если такое случится, то мне будет по-барабану в каком ты был состоянии. Мы ОБА помним этот разговор до сих пор, 27 декабря будет 38 лет)))","Что страшнее для Вас? Если человек, с которым Вы встречаетесь / живёте скажет Вам, что изменил или что полюбил кого-то ?"
3418,когда девушка спрашивать нравиться ли я кто то с кто и когда я встречаться это просто кокетство или я они нравиться,Это естественное любопытство,"Когда девушки спрашивают, нравится ли мне кто-то, с кем и когда я встречался, это просто кокетство или я им нравлюсь?"
3419,парень постоянно спрашивать где я,Ревнивый),"Парень постоянно спрашивает ""Где я?"""
3420,парень когда вы говорить что есть рефлексия к бывший что вы хотеть от новый девушка,Некоей перчинки :),"Парни, когда вы говорите, что есть рефлексия к бывшим. чего вы хотите от новой девушки?"
3421,любить парень но только в переписка жить на разный улица видеться редко,"А зачем, если любовь исчезает? На всю жизнь одиночество с кем-то?","Люблю парня, но только в переписке. Живём на разных улицах. Видимся редко."
3422,кто такой парень удак по ваш,"Мудак - это человек, который в силу своего говнистого характера, сам иногда того не осознавая, но чаще из умысла, доставляет другим людям неприятности...",Кто такой парень-*удак по вашему?
3423,есть знакомый после расставание с девушка уже через день находить другой как он это делать,и что это ему дает кроме сифилиса,Есть знакомый. После расставания с девушкой уже через 3-5 дней находит другую. Как он это делает?
3424,зачем мужчина спрашивать про типаж,Обычно женщины спрашивают это. Хочет шикарную брюнетку наверное.,Зачем мужчина спрашивает про Типаж?
3425,по двор бомж в смартфон они с любовь,С пристрастием,По дворам бомжи в смартфонах они с любовью?
3426,проблема с девушка нужный помощь,так вызови бригаду.,Проблемы с девушкой! Нужна помощь!!
3427,как вы быть поздравлять свой молодой человек с день разведка делиться свой оригинальный идея,Какая там разведка.Твой МЧ закосил по плоскостопию или психзаболеванию.,как вы будете поздравлять своего молодого человека с днем разведки? делитесь своими оригинальными идеями)
3428,вопрос мужской половина,"Высокомерие, тупость, наглость",Вопрос мужской половине
3429,уметь ли вы прощать и что бы не смочь никогда простить друг или любимый любимый,измену не смогла бы,Умеете ли вы прощать? И чего бы не смогли никогда простить другу или любимому (любимой)?
3430,как понять что парень специально игнорировать девушка который он нравиться,"Балкон не застеклен вот причина и следствие, или еще какие то нужны догматы космической теории любви?","Как понять, что парень специально игнорирует девушку, которая ему нравится?"
3431,для что мой парень интересоваться мой прошлое отношение,Просто ревнивый человек с комплексами.,Для чего мой парень интересуется моими прошлыми отношениями?
3432,я однажды намекнуть парень который я точно не нравиться что он я не нравиться как мужчина а он обидеться почему,А что о себе скажешь?),"Я однажды намекнула парню (которому я точно не нравлюсь!), что он мне не нравится как мужчина. А он обиделся. Почему?"
3433,я считать себя твой девушка а не просто подруга я это напрягать сказать что это значит,Это значит что она влюбленна в вас. и считает что может претендовать на большее чем подруга.,"Я считаю себя твоей девушкой, а не просто подругой, меня это напрягает.. Скажите что это значит"
3434,мочь ли мужчина или девушка у который очень много поклонница поклонник быть верный в брак,"ну а чё - не, меня минимум две конкретных было, когда я в браке жил. и ничего...но, какой я был дурак =)))у умного быть не может, имхоно от обратного не работает, ежели у него их сотня, то не факт, что он умный",Может ли мужчина или девушка у которых очень много поклонниц/поклонников быть верными в браке?
3435,вот сказать я ваш мнение внутри,"на хорошем сексе можно проползти лет до десяти, остальное я не знал. а потому хочу пожить нормально",Вот скажите мне ваше мнение? (Внутри)
3436,вопрос мужчина очень взрослый,ты потрясающая женщина-его от тебя просто трясет и забыть не может.,Вопрос мужчинам очень взрослым... 40+...
3437,если девушка крутиться вокруг я и пасти постоянно просто видеть видно хотеть но на тесный контакт не идти а если,"Помнишь как в детстве?! -кто пасёт, тот сосет)))",Если девушка крутится вокруг меня и пасёт постоянно) просто видеть видно хочет но на тесный контакт не идёт) А если ?
3438,почему русский девушка не любить русский мужчина,русских не бывает,Почему русские девушки не любят русских мужчин?
3439,всё можно проверить и узнать правда зачем же вы верить,Проверь есть ли высшие силы. Уж очень интересно как ты это докажешь. Или то что был большой взрыв,Все можно проверить и узнать правду. Зачем же вы верите?
3440,мой парень общаться с другой девушка,если ты красотка ты всегда должна знать что тебе делать))),Мой парень общается с другой девушкой
3441,почему с родный вражда а с чужой норма,С чужими делить наверное нечего)) а то такая же вражда была бы)),Почему с родными вражда? А с чужими норм!?
3442,почему щопот сплетня слышать каждый а крик душа почти никто,Лень заморачиваться))),Почему щопот сплетен слышит каждый а крик души почти никто?)))
3443,друг решить подарить я деньга,пока друг постарайся и вернуть,Друг решил подарить мне деньги... ++
3444,вопрос человек знающий мужской психология,"Это то как видит это эта знакомая женщина. Если она расценивает это как ""стеб"" - это ""стеб"". Лично для меня это всего лишь ""пожелание любви с ее избранником"" и больше не о чем мне это не говорит.",Вопрос людям знающим мужскую психологию...
3445,мой девушка не постит у себя на страница пост и сохраненка о любовь значит она я не любить,"Зачем хламить стену? А я так вообще не люблю розовые сопли: у меня внутри могут кипеть нешуточные страсти, но делиться этим в соц. сетях с хрен знает кем я точно не буду..","Моя девушка не постит у себя на странице посты и сохраненки о любви, значит она меня не любит?"
3446,а правда настоящий любовь только у собака,давай тебя запрем),"А правда, настоящая любовь - только у собак??!."
3447,в состояние злость выкинуть подарок парень парень расстроиться и день не отвечать,"Правильно сделал... ""Дареному коню в зубы не глядят""... Тем более подарок был эксклюзивный... ручной работы...",В состоянии злости выкинула подарок парня. Парень расстроился и 3 дня не отвечает.
3448,жена отбивать весь инициатива это норма,"Женщину выслушай, но поступай по своему. Я с женой живу уже 54 год пошел. С самого начала я занимался своими делами. то есть своими увлечениями. Я мог про два-три дня играть в преферанс, бридж, маджонг или бильярд. Естественно один, жене это на фиг нужно. Также я люблю смотреть фильмы и не прпускал ни одного. Конечно ей простьо некогда было их смотреть да и не за чем. Если фильм был очень интересным я тогда ходил с ней и ей нравилось. Я могу десять раз посмотреть один и тот же фильм а жене они просто не нужны. Мы любим друг-друга. У нас дети, вануки, правнуки. Но я весь в своих увлечениях. У жены свои увлечения, свои подруги свои посиделки. Я не раб ее и мне ее посиделки сто лет не нужны. Она пыталась инолгда меня привести. Я сразу отшивал ее-не нравится иди живи как хочешь только без меня. Не хватало чтобы женщины мужиками руководили.","жена отбивает всю инициативу, это норма?)"
3449,где знакомиться с богатый мужчина надоесть мужик который не ухаживать толком не дарить ничего никуда не возить,В публичном доме. Но тебя там не захотят содержать),"Где знакомятся с богатыми мужчинами?? Надоели мужики, которые не ухаживают толком, не дарят ничего, никуда не возят."
3450,что выбрать помочь,"Я бы поехала к брату, т. к это все таки родной человек... А на счет обмена... Может быть и лучше в будущем, чем сейчас",Что выбрать помогите?
3451,что делать если девушка начало курить,покончить жизнь самоубийством),"Что делать, если девушка начала курить?"
3452,что делать тогда,"Беги, Форест.",Что делать тогда?
3453,зачем парень надеяться на глубокий любовь,потому-что так лучше спится,Зачем парни надеются на глубокую любовь?
3454,девчонка разведёнка с ребёнок почему когда попадать в компания хороший парень холостяк начинать за он борьба,Да они просто разводят тебя чтоб аленил )),"Девчонки-разведенки с детьми, почему когда попадаете в компанию хорошего парня холостяка начинаете за него борьбу?"
3455,а чем вы заниматься в воскресный день отношение или любовь,с утра любовью потом поел и опять любовью сейчас поем посплю и снова займусь любовью,"А чем вы занимаетесь в воскресный день, отношениями или любовью?"
3456,я казаться что мы давно жить при матриархат как вы считать так ли это,"Бред, не согласен.",Мне кажется что мы давно живем при матриархате. Как вы считаете так ли это?
3457,как достигнуть к себя особый внимание,Сделай подвиг.,Как достичь к себе особого внимания?
3458,от какой мысль у ты с голова не в порядок бывать,От думы о себе.,От каких мыслей у тебя с головой не в порядке бывает?))
3459,если девушка менять свадьба на первый секс то чем она отличаться от проститутка ну тут она бытовой а не уличный,"Девственность во все времена у всех народов ценится потому, что у девушки остаются маркеры генов партнёра, которые передаются дальше по наследству. Но не все это ценят, потому что формируется общество потребителей, где продаётся всё, чтобы потом купить другое.","Если девушка меняет свадьбу на первый секс, то чем она отличается от проститутки? Ну тут она бытовая, а не уличная"
3460,друг я предложить встречаться,Дружеский секс? Кто это придумал? Так он тебе друг или тебе нравится когда за тобой бегают? Боишься потерять ухажера? Не хотел бы я таких двуличных друзей.,Друг мне предложил встречаться
3461,такой ситуация что я дружить с компания,Как сердце подскажет,Такая ситуация что я дружу с компанией
3462,этот человек счастливый с друг друг какой у вы эмоция,И что?,Эти люди счастливы с друг другом? Какие у Вас эмоции?
3463,парень пригласить на крещение он крестница но подарок быть покупать я,Хорош парень - ничего не скажешь.,Парень пригласил на крещение его крестницы но подарок буду покупать я
3464,что это значит как вы думать,Дура тупая и всё.,"Что это значит, как вы думаете??"
3465,если девушка хотеть просто пообщаться мол это значит что положить глаз а потом ребёнок работа развод и алименты,с таким настроем вам лучше забыть про них думать... от греха подальше...,Если девушка хочет просто пообщаться мол это значит шо положила глаз а потом дети 3 работы развод и алименты?
3466,если молодой человек очень сильно на я злиться,"Он понимает, что ты глупая, но ему нравится твой зад. Ни чего другого это не означает.",Если молодой человек очень сильно на меня злится ..+
3467,это нормально если я хотеть жениться,Не женись раз нет условий,"Это нормально, если я хочу жениться?"
3468,зачем человек искать отношение,чтоб трахсаться,Зачем люди ищут отношений?
3469,что вы мочь сказать про этот пара,"Пара как пара. Встречаются, сексом занимаются, может быть даже любят друг друга. Таки миллионы пар.",Что Вы можете сказать про эту пару?
3470,я обидеть сегодня как дать отпор человек который сказать следующий,"отчасти есть правда в словах родственницы, сейчас многие получают образоваие, ""лишь бы было вдруг пригодится"" пруд пруди экономистов, и юристов, которые работают манагерами в магазинах электротехники... если же в дальнейшем 100% работать по специальности то тогда да- не трата времени","Меня обидели сегодня, как дать отпор человеку, который сказал следующее:"
3471,что с я случиться я большой не влюбляться в парень а просто хотеть переспать постоянно влюбляться безответно,Зов природы! Ты не одна такая !,Что со мной случилось? Я больше не влюбляюсь в парней а просто хочу переспать... Постоянно влюблялась безответно...
3472,мой парень увести женатый мужчина что делать,"Как вариант, закадрите его собаку или кошку!",моего парня увел женатый мужчина что делать
3473,что выбрать между секс без любовь или любовь без секс,Актуален только вопрос - какой секс :D,"Что выбрать между: секс - без любви, или любовь - без секса."
3474,быть или не быть вместе если любить но этот любовь вести к несчастие наверное,"Пускай уходит. Пускай будет счастлива, пускай все у неё будет хорошо.","быть или не быть вместе, если любишь но эта любовь ведёт к несчастью, наверное."
3475,зачем мужчина откровенно флиртовать с другой в интернет если говорить что я любить,он тебе врет любит многих,"зачем мужчина откровенно флиртует с другими в интернете, если говорит, что меня любит?"
3476,почему женщина любить одевать вещь любимый мужчина,это так здорово его толстовка,почему женщины любят одевать вещи любимого мужчины?
3477,как познакомиться с парень,"подходишь к нему и говоришь""здорово Барбос""",Как познакомится с парнем?
3478,это означать что у он к я чувство,"Угораздило же ему подружиться с такой проблемной женщиной... Не знаю насчет чувств в плане именно любовных, но какие-то хорошие чувства у него, несомненно, в отношении вас - есть, иначе бы он всё это не вытерпел.","Это означает, что у него ко мне чувства?"
3479,как вы относиться к такой поведение считать ли это норма,Спать в одной кровати -- это как? Где она их берёт?,Как вы относитесь к такому поведению? Считаете ли это нормой?
3480,этот слово верный,боюсь сказать не обобщай,Эти слова верны?
3481,как правильно занимать деньга у друг и знакомый чтоб дать деньга,Под залог.,"как правильно занимать деньги у друзей и знакомых, чтоб дали денег?"
3482,я иногда казаться что девушка что то не хватать иногда смотреть какой то фильм или книга там иногда создаваться,"Девушки не для того существуют чтобы удивлять кого-то ""сложным поведением""))Кстати, мужчины этого не любят. Им чем проще, тем лучше.","Мне иногда кажется что девушкам чего то не хватает, иногда смотришь какие то фильмы или книги, там иногда создаётся..."
3483,что делать далёкий,Что делать? Скажи-НЕ ПОРТИ ВСЁ.НОРМАЛЬНО ЖЕ,Что делать дальше?
3484,это разный вещь или нет правда,"Ревнуют все.Но не все об этом говорят.Даже если мальчик в песочнице отдал свою лопатку одной девочке, другая будет ревновать (при чём, все трое - незнакомые друг другу малыши, по 3 года отроду).К изменам ревность не имеет абсолютно никакого отношения.Это просто ЧУВСТВО СОБСТВЕННОСТИ, порой не имеющее под собой никаких оснований.",Это разные вещи или нет? Правда?
3485,как вы считать какой идеальный возраст для отношение,"с 3 до 4,7 лет","Как вы считаете, какой идеальный возраст для... ""отношений"""
3486,какой отношение между мужчина и женщина самый крепкий что должный царить в семья,"Взаимопонимание... женщина должна уступать мужчине, чаще даже если он не прав",Какие отношения между мужчиной и женщиной самые крепкие? Что должно царить в семье?
3487,господин мужчина подсказать пожалуйста что я делать,"у парня полная бошка пуль. включил обиженку чтобы привлечь твое внимание и получить подтверждение ценности для тебя. набивает цену. в себе не уверен и провоцирует разборки с целью хапнуть эмоций. прекращай с ним общение. это больной на бошку чел. или, как вариант, решил закруглить отношения и в причине обвинить тебя- ты плохая, а он плохого не потерпит. пнешь его - начнет скулить, мол, если бы он тебе был дорог то ты бы так легко не отказалась бы от него и опять ты плохая. на кой тебе этот геморройный придурок?","Господа мужчины, подскажите, пожалуйста, что мне делать?"
3488,зачем девушка залезать на барный стойка,посмотреть с высока на всех,Зачем девушки залезают на барную стойку?
3489,предать близкий человек что делать,откуда такой набор букв?,Предал близкий человек что делать
3490,можно ли забеременеть без проникновение секс не быть тереться о член но не кончать в время это,"нет, можешь спокойно спать)","Можно ли забеременеть без проникновения? Секса не было, терлась об член . Но не кончал во время этого"
3491,а вы мочь вот так взять и влюбиться в ава,"Яву, яву, взял я на халяву!",А вы можете вот так взять и влюбиться в аву?)
3492,если я сегодня накануне покров всё бывший вспомнить то к что это,"Их сегодня клинит... Причем, даже женатых)))","Если меня сегодня накануне Покрова все бывшие вспомнили, то к чему это?"
3493,а у вы много человек в чёрный список,"Да, было достаточно)) Поняла, что это не работает и всем дала Вольные))))Если кто-то хочет... то ""затроллит"" и с новых и новых акков)))))))))",А у вас много людей в чёрном списке?)
3494,если мужчина в секс торопиться то хотеть что,"в ответы срочно написать, как тебя чпокал",Если мужчина в сексе торопится) то хочет ЧТО?)
3495,по какой критерий частый весь парень нравиться девушка,Лэйл Лаундес выделяет 4 пункта:1) Внешность2) Деньги3) Признание в обществе4) Отношение к ней,по каким критериям чаще всего парни нравятся девушкам?
3496,как узнать вместе девушка с парень или нет,Все если бы да кабы.. тут не знаешь кто кем обернется для тебя,"Как узнать, вместе девушка с парнем или нет?)"
3497,неуверенность в отношение,А ты с ним трахалась?,Неуверенность в отношениях
3498,если ты ноль в любовный отношение с что логичный начать то чувство когда всё пропустить так к с по год быть,"с размышлений, а нафига тебе эти отношения нужны, что ты от них хочешь получить..и тока потом подбирать партнера..для женщин это в 80% случаев создание семьи и рождение детей, не думаю, что ты какая то особенная)","Если ты ноль в любовных отношениях, с чего логичнее начать?) То чувство, когда всё пропустила, т. к. с 12 по 16 лет была"
3499,женщина свой мужчина быть воспринимать адекватно в любой состояние,"Осталось узнать что такое жизнь свое и смерть. Своя жизнь и своя смерть вот что свое, остальное аренда.","Женщина, своего мужчину ..будет воспринимать адекватно, в любом состоянии ?"
3500,какой вес у приличный женщина,55,Какой вес у приличной женщины ?
3501,я человек без особенный личностный черта обыкновенный не знать что можно сделать чтобы выглядеть интересный,Я такой же. Зачем меняться? Ради чего и кого...? Да и вообще не стоит надрываться,"Я человек без особенных личностных черт, обыкновенный. Не знаю что можно сделать чтобы выглядеть интереснее."
3502,бывать замуж собраться да вспомнить тьфу я ж уже,"иди, чо теряешся","Бывает замуж соберёшься, да вспомнишь, тьфу я ж уже?"
3503,очень нужный ответ,А сиси у тебя есть?,ОЧЕНЬ НУЖЕН ОТВЕТ
3504,как проверить девушка говорить что асексуальный но отправлять секси фотка с голодный взгляд будто съесть хотеть,скажи ей что ты аморален - и начни уже действовать.,"Как проверить, девушка говорит, что асексуальна? Но отправляет секси фотки с голодным взглядом, будто съесть хочет))"
3505,что мочь быть милый женский дружба,Хм....,Что может быть милее женской дружбы?
3506,да чтожий такой он вообще не брать трубка,Поздравляем. Вы его достали.,да чтож такое??? он вообще не берет трубку!
3507,секс раз в неделя два неделя это норма,Кажется ей хватает секса и без тебя,Секс раз в неделю-две недели это норма?
3508,если мужчина год помогать деньга а теперь,А ОН ЧТО ОБЯЗАН?: - БЫЛО ПОМОГАЛ- А ТЫ ЕМУ ЧТО ОТВЕЧАЛА? - ВСПОМНИ.... он уже другой помогает....,"Если мужчина 2,5 года помогал деньгами, а теперь"
3509,мужчина выпить и загрустить мужчина женатый,Мало выпил),Мужчина выпил и загрустил.. (мужчина женатый)
3510,мочь ли девушка ответить что я она нравиться как друг стесниться что я она нравиться,"скорее да, но сомневается в твоей симпатии, у меня было так инициативу проявляла я отвечал из вежливости чтобы не обидеть ты нравишься точно","Может ли девушка ответив что я ей нравлюсь как друг, стеснятся что я ей нравлюсь?"
3511,давать уже бухать есть какой нить прикольный тост написать,Можно просто без тостов бухать,Давайте уже бухать?))) есть какие нить прикольные тосты? напишите)))
3512,какой пакет носить вы врач ну если бесплатный поликлиника,"хз ниразу не носил, ну можно там хирургу какому-то за операцию серьезную успешную бутылочку дорогую, а терапевту или лору за что)","Какие пакеты носите вы врачам, ну если бесплатная поликлиника?"
